Aircraft,MxEvent,Start,Duration,ConstrainedTo,MinimumDaysAfter,MaximumDaysAfter
Blue-1,Blue-1 A Check-1,5/05/2026,60,,,
Blue-2,Blue-2 A Check-1,9/09/2026,60,,,
Blue-3,Blue-3 A Check-1,23/11/2026,60,,,
Blue-4,Blue-4 A Check-1,25/04/2026,60,,,
Blue-5,Blue-5 A Check-1,3/01/2026,60,,,
Blue-6,Blue-6 A Check-1,28/11/2026,60,,,
Blue-7,Blue-7 A Check-1,8/08/2026,60,,,
Blue-8,Blue-8 A Check-1,17/11/2026,60,,,
Blue-9,Blue-9 A Check-1,26/02/2026,60,,,
Blue-10,Blue-10 A Check-1,17/12/2026,60,,,
Blue-1,Blue-1 A Check-2,13/04/2027,60,Blue-1 A Check-1,320,380
Blue-2,Blue-2 A Check-2,14/08/2027,60,Blue-2 A Check-1,320,380
Blue-3,Blue-3 A Check-2,18/11/2027,60,Blue-3 A Check-1,320,380
Blue-4,Blue-4 A Check-2,26/03/2027,60,Blue-4 A Check-1,320,380
Blue-5,Blue-5 A Check-2,20/11/2026,60,Blue-5 A Check-1,320,380
Blue-6,Blue-6 A Check-2,29/10/2027,60,Blue-6 A Check-1,320,380
Blue-7,Blue-7 A Check-2,1/08/2027,60,Blue-7 A Check-1,320,380
Blue-8,Blue-8 A Check-2,18/11/2027,60,Blue-8 A Check-1,320,380
Blue-9,Blue-9 A Check-2,20/02/2027,60,Blue-9 A Check-1,320,380
Blue-10,Blue-10 A Check-2,14/12/2027,60,Blue-10 A Check-1,320,380
Blue-1,Blue-1 A Check-3,27/03/2028,60,Blue-1 A Check-2,320,380
Blue-2,Blue-2 A Check-3,31/07/2028,60,Blue-2 A Check-2,320,380
Blue-3,Blue-3 A Check-3,31/10/2028,60,Blue-3 A Check-2,320,380
Blue-4,Blue-4 A Check-3,5/03/2028,60,Blue-4 A Check-2,320,380
Blue-5,Blue-5 A Check-3,24/10/2027,60,Blue-5 A Check-2,320,380
Blue-6,Blue-6 A Check-3,8/11/2028,60,Blue-6 A Check-2,320,380
Blue-7,Blue-7 A Check-3,8/08/2028,60,Blue-7 A Check-2,320,380
Blue-8,Blue-8 A Check-3,22/11/2028,60,Blue-8 A Check-2,320,380
Blue-9,Blue-9 A Check-3,11/01/2028,60,Blue-9 A Check-2,320,380
Blue-10,Blue-10 A Check-3,10/11/2028,60,Blue-10 A Check-2,320,380
Blue-1,Blue-1 A Check-4,28/03/2029,60,Blue-1 A Check-3,320,380
Blue-2,Blue-2 A Check-4,5/07/2029,60,Blue-2 A Check-3,320,380
Blue-3,Blue-3 A Check-4,30/10/2029,60,Blue-3 A Check-3,320,380
Blue-4,Blue-4 A Check-4,17/02/2029,60,Blue-4 A Check-3,320,380
Blue-5,Blue-5 A Check-4,26/09/2028,60,Blue-5 A Check-3,320,380
Blue-6,Blue-6 A Check-4,15/11/2029,60,Blue-6 A Check-3,320,380
Blue-7,Blue-7 A Check-4,6/08/2029,60,Blue-7 A Check-3,320,380
Blue-8,Blue-8 A Check-4,17/11/2029,60,Blue-8 A Check-3,320,380
Blue-9,Blue-9 A Check-4,10/01/2029,60,Blue-9 A Check-3,320,380
Blue-10,Blue-10 A Check-4,8/10/2029,60,Blue-10 A Check-3,320,380
Blue-1,Blue-1 A Check-5,25/03/2030,60,Blue-1 A Check-4,320,380
Blue-2,Blue-2 A Check-5,9/06/2030,60,Blue-2 A Check-4,320,380
Blue-3,Blue-3 A Check-5,21/10/2030,60,Blue-3 A Check-4,320,380
Blue-4,Blue-4 A Check-5,1/03/2030,60,Blue-4 A Check-4,320,380
Blue-5,Blue-5 A Check-5,29/09/2029,60,Blue-5 A Check-4,320,380
Blue-6,Blue-6 A Check-5,14/10/2030,60,Blue-6 A Check-4,320,380
Blue-7,Blue-7 A Check-5,17/08/2030,60,Blue-7 A Check-4,320,380
Blue-8,Blue-8 A Check-5,12/11/2030,60,Blue-8 A Check-4,320,380
Blue-9,Blue-9 A Check-5,3/12/2029,60,Blue-9 A Check-4,320,380
Blue-10,Blue-10 A Check-5,21/10/2030,60,Blue-10 A Check-4,320,380
Blue-1,Blue-1 A Check-6,26/02/2031,60,Blue-1 A Check-5,320,380
Blue-2,Blue-2 A Check-6,21/06/2031,60,Blue-2 A Check-5,320,380
Blue-3,Blue-3 A Check-6,10/10/2031,60,Blue-3 A Check-5,320,380
Blue-4,Blue-4 A Check-6,7/03/2031,60,Blue-4 A Check-5,320,380
Blue-5,Blue-5 A Check-6,24/08/2030,60,Blue-5 A Check-5,320,380
Blue-6,Blue-6 A Check-6,3/10/2031,60,Blue-6 A Check-5,320,380
Blue-7,Blue-7 A Check-6,4/08/2031,60,Blue-7 A Check-5,320,380
Blue-8,Blue-8 A Check-6,26/10/2031,60,Blue-8 A Check-5,320,380
Blue-9,Blue-9 A Check-6,5/11/2030,60,Blue-9 A Check-5,320,380
Blue-10,Blue-10 A Check-6,18/10/2031,60,Blue-10 A Check-5,320,380
Blue-1,Blue-1 A Check-7,4/02/2032,60,Blue-1 A Check-6,320,380
Blue-2,Blue-2 A Check-7,16/05/2032,60,Blue-2 A Check-6,320,380
Blue-3,Blue-3 A Check-7,9/09/2032,60,Blue-3 A Check-6,320,380
Blue-4,Blue-4 A Check-7,7/02/2032,60,Blue-4 A Check-6,320,380
Blue-5,Blue-5 A Check-7,31/08/2031,60,Blue-5 A Check-6,320,380
Blue-6,Blue-6 A Check-7,1/09/2032,60,Blue-6 A Check-6,320,380
Blue-7,Blue-7 A Check-7,16/07/2032,60,Blue-7 A Check-6,320,380
Blue-8,Blue-8 A Check-7,9/11/2032,60,Blue-8 A Check-6,320,380
Blue-9,Blue-9 A Check-7,25/09/2031,60,Blue-9 A Check-6,320,380
Blue-10,Blue-10 A Check-7,23/10/2032,60,Blue-10 A Check-6,320,380
Blue-1,Blue-1 A Check-8,24/12/2032,60,Blue-1 A Check-7,320,380
Blue-2,Blue-2 A Check-8,29/04/2033,60,Blue-2 A Check-7,320,380
Blue-3,Blue-3 A Check-8,1/09/2033,60,Blue-3 A Check-7,320,380
Blue-4,Blue-4 A Check-8,9/01/2033,60,Blue-4 A Check-7,320,380
Blue-5,Blue-5 A Check-8,31/08/2032,60,Blue-5 A Check-7,320,380
Blue-6,Blue-6 A Check-8,20/07/2033,60,Blue-6 A Check-7,320,380
Blue-7,Blue-7 A Check-8,10/07/2033,60,Blue-7 A Check-7,320,380
Blue-8,Blue-8 A Check-8,3/11/2033,60,Blue-8 A Check-7,320,380
Blue-9,Blue-9 A Check-8,28/09/2032,60,Blue-9 A Check-7,320,380
Blue-10,Blue-10 A Check-8,28/09/2033,60,Blue-10 A Check-7,320,380
